,time,open,high,low,close,volume
0,2022-11-18 20:00:00,179.21,179.35,179.2,179.3,4081
1,2022-11-18 19:59:00,179.3,179.35,179.21,179.21,4290
2,2022-11-18 19:58:00,179.2,179.3,179.13,179.3,7905
3,2022-11-18 19:57:00,179.15,179.2,179.13,179.2,5711
4,2022-11-18 19:56:00,179.13,179.15,179.13,179.15,1076
5,2022-11-18 19:55:00,179.15,179.15,179.12,179.15,4291
6,2022-11-18 19:54:00,179.16,179.16,179.11,179.12,1748
7,2022-11-18 19:53:00,179.2,179.2,179.19,179.19,701
8,2022-11-18 19:52:00,179.12,179.13,179.12,179.13,1267
9,2022-11-18 19:51:00,179.21,179.21,179.17,179.17,4193
10,2022-11-18 19:50:00,179.25,179.25,179.22,179.22,1400
11,2022-11-18 19:49:00,179.25,179.25,179.25,179.25,1039
12,2022-11-18 19:48:00,179.22,179.25,179.22,179.22,2422
13,2022-11-18 19:47:00,179.25,179.25,179.22,179.22,1899
14,2022-11-18 19:46:00,179.19,179.19,179.19,179.19,777
15,2022-11-18 19:44:00,179.15,179.15,179.15,179.15,256
16,2022-11-18 19:43:00,179.19,179.19,179.1,179.15,1533
17,2022-11-18 19:42:00,179.19,179.2,179.19,179.2,1796
18,2022-11-18 19:41:00,179.11,179.19,179.11,179.19,983
19,2022-11-18 19:40:00,179.15,179.15,179.12,179.12,1056
20,2022-11-18 19:39:00,179.15,179.15,179.15,179.15,956
21,2022-11-18 19:36:00,179.1,179.1,179.06,179.1,2676
22,2022-11-18 19:35:00,179.12,179.12,179.12,179.12,816
23,2022-11-18 19:34:00,179.15,179.19,179.15,179.15,1689
24,2022-11-18 19:33:00,179.18,179.18,179.15,179.15,1619
25,2022-11-18 19:32:00,179.25,179.25,179.15,179.15,2906
26,2022-11-18 19:31:00,179.29,179.29,179.2899,179.2899,1727
27,2022-11-18 19:30:00,179.33,179.33,179.33,179.33,397
28,2022-11-18 19:29:00,179.34,179.37,179.3,179.3,2022
29,2022-11-18 19:27:00,179.3,179.34,179.3,179.34,1433
30,2022-11-18 19:26:00,179.29,179.29,179.29,179.29,800
31,2022-11-18 19:25:00,179.34,179.34,179.29,179.29,543
32,2022-11-18 19:24:00,179.36,179.36,179.36,179.36,501
33,2022-11-18 19:22:00,179.36,179.36,179.36,179.36,3620
34,2022-11-18 19:21:00,179.36,179.37,179.36,179.37,520
35,2022-11-18 19:20:00,179.4,179.4,179.37,179.37,702
