,Positive,Neutral,Negative
0,0.51679504,0.47872865,0.0044762106
1,0.045813534,0.78812325,0.16606319
2,0.58610034,0.40607587,0.007823859
3,0.2122239,0.7647556,0.023020463
4,0.51679504,0.47872865,0.0044762106
5,0.050497666,0.75003546,0.19946688
6,0.97203386,0.021834977,0.0061311866
7,0.51679504,0.47872865,0.0044762106
8,0.33471107,0.6560787,0.009210357
9,0.3133833,0.6698243,0.016792428
10,0.6492666,0.33874932,0.011984119
11,0.26139,0.7316624,0.0069476604
12,0.51679504,0.47872865,0.0044762106
13,0.57522285,0.41643327,0.008343917
14,0.22049648,0.77033734,0.009166133
15,0.9725375,0.021420535,0.0060419594
16,0.51679504,0.47872865,0.0044762106
17,0.14464027,0.8406093,0.014750493
18,0.9709374,0.022845523,0.006217066
19,0.51679504,0.47872865,0.0044762106
20,0.10720895,0.42426437,0.46852663
21,0.57775736,0.41423544,0.008007254
22,0.10017765,0.87994874,0.019873505
23,0.51679504,0.47872865,0.0044762106
24,0.061810523,0.91610163,0.022087716
25,0.018887626,0.19599554,0.78511673
26,0.51679504,0.47872865,0.0044762106
27,0.97430074,0.023325345,0.0023738176
28,0.11658158,0.8669679,0.016450461
29,0.6123137,0.37996638,0.007719836
30,0.51679504,0.47872865,0.0044762106
31,0.2639115,0.664036,0.07205256
32,0.14464027,0.8406093,0.014750493
33,0.08540168,0.89954627,0.015052067
34,0.51679504,0.47872865,0.0044762106
35,0.980043,0.01822999,0.0017268155
36,0.9766231,0.021705508,0.0016713948
37,0.17761011,0.81617546,0.0062143095
38,0.58435005,0.407928,0.007721854
39,0.51679504,0.47872865,0.0044762106
40,0.07892526,0.88447535,0.03659947
41,0.17239434,0.8213678,0.006237796
42,0.2552679,0.7373323,0.007399771
43,0.014093486,0.0677792,0.9181274
44,0.108422145,0.8465693,0.045008622
45,0.22643645,0.7473174,0.026246026
46,0.51679504,0.47872865,0.0044762106
47,0.082082845,0.87355363,0.044363596
48,0.082082845,0.87355363,0.044363596
49,0.05706327,0.9054648,0.03747184
50,0.51679504,0.47872865,0.0044762106
51,0.5794268,0.41255274,0.00802043
52,0.91297346,0.081186496,0.0058401395
53,0.51679504,0.47872865,0.0044762106
54,0.14464027,0.8406093,0.014750493
55,0.65575784,0.339343,0.004899241
56,0.9770199,0.020710606,0.0022693244
57,0.51679504,0.47872865,0.0044762106
58,0.07552248,0.74486065,0.1796169
59,0.5677108,0.42398742,0.008301857
60,0.96413696,0.033567596,0.0022955558
61,0.09255105,0.89944875,0.008000198
62,0.023288537,0.3846267,0.59208477
63,0.51679504,0.47872865,0.0044762106
64,0.031796332,0.49701485,0.4711888
65,0.05067967,0.9057736,0.043546658
66,0.10913632,0.86685324,0.024010472
67,0.51679504,0.47872865,0.0044762106
68,0.08812563,0.88916504,0.022709362
69,0.577521,0.41433498,0.008143848
70,0.96413696,0.033567596,0.0022955558
71,0.11288432,0.86821645,0.01889924
72,0.51679504,0.47872865,0.0044762106
73,0.087581925,0.8992617,0.013156321
74,0.091939166,0.89476335,0.013297477
75,0.5233832,0.46709394,0.009522807
76,0.9427647,0.055292618,0.0019426265
77,0.12901716,0.85183793,0.019144952
78,0.10272837,0.8499652,0.047306396
79,0.14464027,0.8406093,0.014750493
80,0.14291507,0.8389024,0.018182397
81,0.06684029,0.9057942,0.027365476
82,0.51679504,0.47872865,0.0044762106
83,0.012693311,0.06487412,0.9224327
84,0.30689707,0.6852472,0.00785568
85,0.5966956,0.3956154,0.0076889694
86,0.51679504,0.47872865,0.0044762106
87,0.111188136,0.86972445,0.019087404
88,0.51679504,0.47872865,0.0044762106
