,Positive,Neutral,Negative
0,0.516795,0.47872883,0.0044762148
1,0.97512573,0.019496199,0.0053781727
2,0.21846886,0.77592635,0.005604732
3,0.045958977,0.38888854,0.5651525
4,0.8822472,0.11489785,0.0028548716
5,0.21222384,0.76475585,0.02302041
6,0.516795,0.47872883,0.0044762148
7,0.05049763,0.7500355,0.19946672
8,0.21797147,0.74030614,0.04172249
9,0.021478482,0.28503913,0.6934824
10,0.9711123,0.023091799,0.0057959454
11,0.516795,0.47872883,0.0044762148
12,0.049915813,0.7616363,0.18844786
13,0.70216185,0.29456553,0.0032728235
14,0.8142984,0.177599,0.008102549
15,0.06503042,0.92279273,0.0121769
16,0.018774657,0.31077415,0.6704512
17,0.017392341,0.28886715,0.69374037
18,0.516795,0.47872883,0.0044762148
19,0.03610959,0.27129456,0.69259584
20,0.020332979,0.3942017,0.58546543
21,0.22049634,0.77033764,0.009166133
22,0.97267526,0.021243718,0.006081106
23,0.516795,0.47872883,0.0044762148
24,0.14464016,0.8406094,0.014750486
25,0.033314295,0.43783832,0.52884746
26,0.05079941,0.94053745,0.008663114
27,0.9708299,0.022347098,0.0068228943
28,0.516795,0.47872883,0.0044762148
29,0.02012253,0.17170426,0.8081731
30,0.10720909,0.42426443,0.46852648
31,0.011492242,0.21958907,0.76891875
32,0.026920443,0.6129116,0.36016792
33,0.15904878,0.7102905,0.13066068
34,0.023500346,0.64151555,0.33498406
35,0.92521226,0.07014844,0.004639178
36,0.516795,0.47872883,0.0044762148
37,0.92521226,0.07014844,0.004639178
38,0.06181061,0.91610163,0.022087727
39,0.10708812,0.8618878,0.031024082
40,0.020904742,0.7473278,0.23176752
41,0.01819426,0.21492839,0.76687735
42,0.49453765,0.500674,0.004788202
43,0.516795,0.47872883,0.0044762148
44,0.006832779,0.11958347,0.8735837
45,0.6740966,0.3220379,0.0038656262
46,0.26945215,0.6766885,0.053859387
47,0.50551796,0.48765117,0.00683096
48,0.01070988,0.11625811,0.87303203
49,0.516795,0.47872883,0.0044762148
50,0.030037742,0.673038,0.29692432
51,0.01819426,0.21492839,0.76687735
52,0.24058683,0.7518957,0.007517354
53,0.26391113,0.66403615,0.07205265
54,0.14464016,0.8406094,0.014750486
55,0.08540161,0.89954627,0.01505206
56,0.06573585,0.9189714,0.015292712
57,0.07260004,0.9146443,0.012755745
58,0.516795,0.47872883,0.0044762148
59,0.11288418,0.84835654,0.03875915
60,0.04003473,0.8234428,0.13652252
61,0.516795,0.47872883,0.0044762148
62,0.07892543,0.8844751,0.03659938
63,0.50551796,0.48765117,0.00683096
64,0.5541058,0.43758154,0.008312609
65,0.082461275,0.90145165,0.016086973
66,0.25526762,0.7373325,0.007399771
67,0.9840986,0.01316957,0.0027318383
68,0.007402576,0.09947898,0.8931184
69,0.92521226,0.07014844,0.004639178
70,0.10842198,0.8465694,0.045008622
71,0.516795,0.47872883,0.0044762148
72,0.093374416,0.86472577,0.041899815
73,0.4724978,0.52213603,0.0053662863
74,0.057813935,0.6595359,0.28265005
75,0.045562673,0.81603247,0.13840473
76,0.3873163,0.60550314,0.0071804873
77,0.047016047,0.91330856,0.0396753
78,0.05706327,0.9054648,0.037471812
79,0.516795,0.47872883,0.0044762148
80,0.0135834655,0.13118441,0.8552322
81,0.09165897,0.28933316,0.6190079
82,0.029820194,0.37643847,0.59374136
83,0.91297317,0.08118665,0.00584015
84,0.030438576,0.74886394,0.22069745
85,0.516795,0.47872883,0.0044762148
86,0.14464016,0.8406094,0.014750486
87,0.028379565,0.6038593,0.3677611
88,0.019480716,0.21878342,0.7617359
89,0.031292893,0.6926152,0.2760919
90,0.029610671,0.9219713,0.048417993
91,0.025863467,0.7284201,0.24571641
92,0.017516734,0.40555635,0.5769269
93,0.9770199,0.020710623,0.0022693255
94,0.516795,0.47872883,0.0044762148
95,0.013915045,0.19872372,0.78736115
96,0.21797147,0.74030614,0.04172249
97,0.0060773436,0.06857547,0.9253471
98,0.015170374,0.2534188,0.73141086
99,0.92521226,0.07014844,0.004639178
100,0.0755225,0.74486065,0.17961696
101,0.0049487446,0.04967314,0.945378
102,0.17592642,0.8099198,0.01415362
103,0.48699054,0.50833905,0.0046704053
104,0.7955123,0.19265375,0.011833949
105,0.96413696,0.033567596,0.0022955579
106,0.30785164,0.5530199,0.1391285
107,0.09758003,0.8912856,0.011134548
108,0.09255112,0.89944875,0.008000187
109,0.093209445,0.89450026,0.012290161
110,0.8447553,0.15060425,0.00464053
111,0.8447553,0.15060425,0.00464053
112,0.516795,0.47872883,0.0044762148
113,0.007048699,0.05933342,0.9336177
114,0.8447553,0.15060425,0.00464053
115,0.50551796,0.48765117,0.00683096
116,0.029857565,0.596398,0.37374443
117,0.047016047,0.91330856,0.0396753
118,0.89160204,0.10268297,0.005714924
119,0.045562673,0.81603247,0.13840473
120,0.018521741,0.234801,0.74667716
121,0.39894152,0.48252288,0.11853564
122,0.048465636,0.743119,0.20841539
123,0.011640141,0.1233661,0.86499375
124,0.92521226,0.07014844,0.004639178
125,0.050850354,0.70001787,0.24913183
126,0.516795,0.47872883,0.0044762148
127,0.1773502,0.7819069,0.040742937
128,0.48314437,0.5118303,0.005025401
129,0.08812565,0.88916504,0.02270939
130,0.05484358,0.931557,0.013599466
131,0.05795794,0.93061364,0.011428567
132,0.50551796,0.48765117,0.00683096
133,0.50551796,0.48765117,0.00683096
134,0.96413696,0.033567596,0.0022955579
135,0.516795,0.47872883,0.0044762148
136,0.008762281,0.123781875,0.86745584
137,0.05290547,0.9318148,0.015279861
138,0.9427647,0.055292677,0.0019426265
139,0.018427467,0.3566317,0.6249408
140,0.92521226,0.07014844,0.004639178
141,0.12901719,0.85183793,0.019144922
142,0.047016047,0.91330856,0.0396753
143,0.14464016,0.8406094,0.014750486
144,0.09315927,0.8972599,0.00958065
145,0.05386845,0.7747526,0.17137894
146,0.56684005,0.4192545,0.013905455
147,0.14291507,0.8389026,0.018182406
148,0.07933919,0.9056993,0.014961582
149,0.06684035,0.9057942,0.027365489
150,0.516795,0.47872883,0.0044762148
151,0.010636836,0.21437392,0.7749891
152,0.2260303,0.62030023,0.15366948
153,0.018105812,0.28794116,0.693953
154,0.98574626,0.01043126,0.0038225746
155,0.15608048,0.8276012,0.0163183
156,0.516795,0.47872883,0.0044762148
157,0.10620339,0.39659765,0.49719897
158,0.50551796,0.48765117,0.00683096
159,0.052239336,0.92326915,0.024491614
160,0.03164553,0.94309795,0.02525659
161,0.86642873,0.11958749,0.013983631
162,0.516795,0.47872883,0.0044762148
163,0.009296974,0.2479391,0.74276394
164,0.040377807,0.31503433,0.6445878
165,0.92521226,0.07014844,0.004639178
166,0.018105812,0.28794116,0.693953
167,0.9397422,0.057465803,0.0027919663
168,0.021359308,0.39084762,0.587793
169,0.11284583,0.77302366,0.114130475
170,0.62308025,0.3715682,0.005351353
171,0.516795,0.47872883,0.0044762148
172,0.040754933,0.5549562,0.40428892
173,0.033890434,0.3683698,0.5977398
174,0.7327503,0.23133725,0.035912406
175,0.083955735,0.6991706,0.21687369
176,0.38992834,0.55495983,0.055111784
177,0.21195258,0.7822207,0.005826704
178,0.01595777,0.74562365,0.23841868
179,0.516795,0.47872883,0.0044762148
180,0.022215335,0.7992855,0.17849913
181,0.5009118,0.4896254,0.009462844
182,0.15411536,0.8378794,0.008005154
183,0.14464016,0.8406094,0.014750486
184,0.22615664,0.7706324,0.0032108347
185,0.50551796,0.48765117,0.00683096
186,0.022525785,0.26627147,0.7112027
187,0.02272792,0.73858815,0.23868388
188,0.36494762,0.6026931,0.03235927
189,0.054102495,0.71372414,0.23217334
190,0.9770199,0.020710623,0.0022693255
191,0.516795,0.47872883,0.0044762148
192,0.64434516,0.3447253,0.010929739
193,0.92521226,0.07014844,0.004639178
194,0.15411536,0.8378794,0.008005154
195,0.07273692,0.87245977,0.054803327
196,0.24792482,0.7430755,0.008999807
197,0.07259266,0.69878995,0.22861731
198,0.013197237,0.3684505,0.61835223
199,0.019024625,0.26468337,0.716292
200,0.3710195,0.6146865,0.014294051
201,0.39074227,0.603406,0.005851708
202,0.65056604,0.34640568,0.0030283397
203,0.045159407,0.8850396,0.069800965
204,0.066119604,0.90600425,0.027876154
205,0.2556517,0.7375697,0.0067786356
206,0.92646223,0.0688491,0.0046885596
207,0.03944539,0.59398377,0.3665708
208,0.04095193,0.9456559,0.013392099
209,0.025178505,0.61051995,0.36430162
210,0.516795,0.47872883,0.0044762148
211,0.18017478,0.78452283,0.035302408
212,0.2896936,0.59461015,0.11569618
213,0.25183555,0.7248785,0.023285966
214,0.028801536,0.8228604,0.14833803
215,0.071395725,0.5961961,0.33240813
216,0.03183639,0.4560556,0.5121078
217,0.68337095,0.30069694,0.015932173
218,0.7744791,0.2197007,0.005820295
219,0.006897187,0.08366473,0.9094382
220,0.12368907,0.7880339,0.08827698
221,0.019822037,0.6249821,0.35519582
222,0.516795,0.47872883,0.0044762148
223,0.42774495,0.5649651,0.0072899056
224,0.9130503,0.07557324,0.011376562
225,0.18387574,0.8077613,0.008362941
226,0.4534488,0.53323174,0.013319269
227,0.04185708,0.5231304,0.43501255
228,0.087609574,0.82884556,0.08354484
229,0.027308503,0.569887,0.40280443
230,0.48748344,0.50881225,0.0037044098
231,0.07177386,0.90390563,0.024320645
232,0.39627722,0.5925906,0.0111322105
233,0.018105812,0.28794116,0.693953
234,0.1116501,0.8627869,0.025562938
235,0.66900533,0.3274683,0.0035263079
236,0.23575194,0.75778776,0.006460162
237,0.70085907,0.29604536,0.0030955002
238,0.016582819,0.2680667,0.7153504
239,0.516795,0.47872883,0.0044762148
240,0.018651577,0.9117821,0.069566295
241,0.016445275,0.39983976,0.583715
242,0.047016047,0.91330856,0.0396753
243,0.8893661,0.10666124,0.003972755
244,0.23030156,0.7583421,0.011356495
245,0.018105812,0.28794116,0.693953
246,0.22305098,0.77208227,0.0048665465
247,0.018105812,0.28794116,0.693953
248,0.40588808,0.5847931,0.009318759
249,0.033794623,0.83352274,0.1326827
250,0.31274867,0.67271185,0.014539435
251,0.092338,0.5420839,0.36557806
252,0.93646514,0.05673532,0.0067996774
253,0.100138515,0.8879683,0.011893223
254,0.12986878,0.8541553,0.015975831
255,0.543078,0.45141515,0.005506852
256,0.08361032,0.90546894,0.010920716
257,0.010636836,0.21437392,0.7749891
258,0.8901983,0.10677284,0.0030288133
259,0.12011707,0.86831725,0.011565611
260,0.76746696,0.228175,0.00435804
261,0.15334518,0.83530986,0.0113449665
262,0.9721734,0.025573649,0.00225308
263,0.026903495,0.55057037,0.42252606
264,0.18713722,0.7951181,0.017744722
265,0.91297317,0.08118665,0.00584015
266,0.1773668,0.70399505,0.11863819
267,0.2942125,0.68998003,0.01580748
268,0.120128326,0.85466224,0.025209513
269,0.2521384,0.41534185,0.33251983
270,0.25735286,0.635831,0.10681625
271,0.76828843,0.21413362,0.0175779
272,0.25735286,0.635831,0.10681625
273,0.06763322,0.91860616,0.0137605
274,0.25735286,0.635831,0.10681625
275,0.25735286,0.635831,0.10681625
276,0.25735286,0.635831,0.10681625
277,0.035439555,0.5939809,0.37057954
278,0.25735286,0.635831,0.10681625
279,0.25735286,0.635831,0.10681625
280,0.09039665,0.90067554,0.008927705
281,0.25735286,0.635831,0.10681625
282,0.036088787,0.90266955,0.06124165
283,0.25735286,0.635831,0.10681625
284,0.03164553,0.94309795,0.02525659
285,0.12458177,0.8429957,0.032422524
286,0.39894152,0.48252288,0.11853564
287,0.92521226,0.07014844,0.004639178
288,0.25735286,0.635831,0.10681625
289,0.3714175,0.623316,0.0052662585
290,0.5251936,0.46002007,0.0147863645
291,0.25735286,0.635831,0.10681625
292,0.5176531,0.47599185,0.006355016
293,0.25735286,0.635831,0.10681625
294,0.034496065,0.29135412,0.67414975
295,0.25735286,0.635831,0.10681625
296,0.48174915,0.51367396,0.004576801
297,0.26444438,0.42220718,0.3133484
298,0.25735286,0.635831,0.10681625
299,0.17575607,0.30597275,0.51827115
300,0.25735286,0.635831,0.10681625
301,0.25735286,0.635831,0.10681625
302,0.5009118,0.4896254,0.009462844
303,0.25735286,0.635831,0.10681625
304,0.6576771,0.3329044,0.009418529
305,0.25735286,0.635831,0.10681625
306,0.25735286,0.635831,0.10681625
307,0.25735286,0.635831,0.10681625
308,0.25735286,0.635831,0.10681625
309,0.25735286,0.635831,0.10681625
310,0.4286601,0.5318138,0.03952614
311,0.59609556,0.38460293,0.019301482
312,0.25735286,0.635831,0.10681625
313,0.25735286,0.635831,0.10681625
314,0.25735286,0.635831,0.10681625
315,0.04105622,0.39507768,0.56386614
316,0.25735286,0.635831,0.10681625
317,0.12695365,0.8613872,0.011659028
318,0.048227385,0.92829436,0.023478137
319,0.11863657,0.8549645,0.026398929
320,0.25735286,0.635831,0.10681625
321,0.25735286,0.635831,0.10681625
322,0.008877252,0.11080724,0.88031554
323,0.25735286,0.635831,0.10681625
324,0.25735286,0.635831,0.10681625
325,0.25735286,0.635831,0.10681625
326,0.25735286,0.635831,0.10681625
327,0.25735286,0.635831,0.10681625
328,0.061244983,0.92570806,0.0130468495
329,0.25735286,0.635831,0.10681625
330,0.9720995,0.025173042,0.0027276548
331,0.95799774,0.0381956,0.003806766
332,0.11793084,0.8743696,0.0076995064
333,0.25735286,0.635831,0.10681625
334,0.25735286,0.635831,0.10681625
335,0.25735286,0.635831,0.10681625
336,0.1515577,0.82961595,0.018826302
337,0.25735286,0.635831,0.10681625
338,0.108664244,0.86149514,0.02984064
339,0.25735286,0.635831,0.10681625
340,0.21479248,0.77807623,0.007131281
341,0.25735286,0.635831,0.10681625
342,0.25735286,0.635831,0.10681625
343,0.25735286,0.635831,0.10681625
344,0.3757304,0.6170127,0.007256905
345,0.05509837,0.9089202,0.03598141
346,0.06368837,0.9174004,0.018911174
347,0.25735286,0.635831,0.10681625
348,0.25735286,0.635831,0.10681625
349,0.25735286,0.635831,0.10681625
